# mean, investigation_time=50.0
lon,lat,PGA-0.1
140.97276,-8.45362,5.115167E-02
140.97282,-8.54356,5.045302E-02
140.97289,-8.63349,4.983159E-02
140.97295,-8.72342,4.923091E-02
140.97302,-8.81335,4.862367E-02
140.97309,-8.90328,4.795191E-02
140.97315,-8.99322,4.714726E-02
140.97322,-9.08315,4.611134E-02
140.97329,-9.17308,4.472581E-02
140.97336,-9.26301,4.285073E-02
140.97343,-9.35294,4.035111E-02
140.97350,-9.44288,3.721435E-02
140.97357,-9.53281,3.365946E-02
140.97365,-9.62274,3.023459E-02
140.97372,-9.71267,2.720673E-02
140.97379,-9.80261,2.438697E-02
140.97387,-9.89254,2.202577E-02
140.97394,-9.98247,2.007936E-02
140.97402,-10.07240,1.828985E-02
140.97410,-10.16233,1.662098E-02
140.97417,-10.25227,1.515855E-02
140.97425,-10.34220,1.384751E-02
140.97433,-10.43213,1.241186E-02
140.97441,-10.52206,1.109414E-02
140.97449,-10.61199,9.894323E-03
140.97457,-10.70193,8.567684E-03
140.97465,-10.79186,7.394569E-03
140.97474,-10.88179,6.202982E-03
140.97482,-10.97172,5.170549E-03
140.97490,-11.06166,0.000000E+00
140.97499,-11.15159,0.000000E+00
140.97507,-11.24152,0.000000E+00
140.97516,-11.33145,0.000000E+00
140.97525,-11.42138,0.000000E+00
140.97533,-11.51132,0.000000E+00
140.97542,-11.60125,0.000000E+00
140.97551,-11.69118,0.000000E+00
140.97560,-11.78111,0.000000E+00
140.97569,-11.87105,0.000000E+00
140.97578,-11.96098,0.000000E+00
141.05973,-0.08993,1.257170E-01
141.05973,-0.17986,1.387022E-01
141.05973,-0.26980,1.462852E-01
141.05974,-0.35973,1.497965E-01
141.05974,-0.44966,1.513874E-01
141.05974,-0.53959,1.520506E-01
141.05975,-0.62953,1.528930E-01
141.05976,-0.71946,1.546133E-01
141.05976,-0.80939,1.577655E-01
141.05977,-0.89932,1.629737E-01
141.05978,-0.98925,1.709431E-01
141.05979,-1.07919,1.826117E-01
141.05980,-1.16912,1.990630E-01
141.05982,-1.25905,2.179773E-01
141.05983,-1.34898,2.396409E-01
141.05984,-1.43891,2.635570E-01
141.05986,-1.52885,2.892164E-01
141.05987,-1.61878,3.129080E-01
141.05989,-1.70871,3.387476E-01
141.05991,-1.79864,3.671938E-01
141.05992,-1.88858,3.988702E-01
141.05994,-1.97851,4.282947E-01
141.05996,-2.06844,4.638868E-01
141.05998,-2.15837,5.068848E-01
141.06001,-2.24830,5.487204E-01
141.06003,-2.33824,5.921871E-01
141.06005,-2.42817,6.588502E-01
141.06008,-2.51810,7.444481E-01
141.06010,-2.60803,7.860869E-01
141.06013,-2.69796,8.028274E-01
141.06015,-2.78790,8.163207E-01
141.06018,-2.87783,8.319024E-01
141.06021,-2.96776,8.284407E-01
141.06024,-3.05769,8.340397E-01
141.06027,-3.14763,8.320327E-01
141.06030,-3.23756,8.289534E-01
141.06034,-3.32749,8.004333E-01
141.06037,-3.41742,7.805081E-01
141.06040,-3.50735,7.717430E-01
141.06044,-3.59729,7.625080E-01
141.06047,-3.68722,7.562837E-01
141.06051,-3.77715,7.447715E-01
141.06055,-3.86708,7.302612E-01
141.06059,-3.95702,7.025396E-01
141.06063,-4.04695,6.841631E-01
141.06067,-4.13688,6.569361E-01
141.06071,-4.22681,6.387560E-01
141.06075,-4.31674,6.244948E-01
141.06080,-4.40668,6.052478E-01
